,datemut,valeurfonc,sbati,pp,valeur_per_met
0,2014-01-02,460902.0,52.375,2.375,8004.671328222958
1,2014-01-03,513794.1111111111,61.03703703703704,2.740740740740741,8347.169270642367
2,2014-01-04,168000.0,26.0,1.0,6461.538461538462
3,2014-01-06,489110.4166666667,57.895833333333336,2.3958333333333335,8264.833351384825
4,2014-01-07,406479.2983870968,49.193548387096776,2.129032258064516,8022.456543102281
5,2014-01-08,515087.13814814814,62.666666666666664,2.3518518518518516,8502.725026384309
6,2014-01-09,511263.5443037975,59.11392405063291,2.4430379746835444,8470.874073848001
7,2014-01-10,430238.09508196724,52.72950819672131,2.377049180327869,8111.462172265316
8,2014-01-11,162455.0,31.0,1.75,5208.787202380952
9,2014-01-12,256500.0,12.0,1.0,21375.0
10,2014-01-13,327619.5077966102,39.74576271186441,1.9322033898305084,8115.474384075225
11,2014-01-14,432556.1504918033,53.721311475409834,2.2459016393442623,7741.57285272565
12,2014-01-15,558738.4933018868,63.783018867924525,2.5377358490566038,8409.096731317506
13,2014-01-16,393885.34736842103,50.410526315789475,2.4105263157894736,7852.945816452935
14,2014-01-17,507050.3379338843,58.01652892561984,2.4049586776859506,8313.611806228339
15,2014-01-18,182500.0,45.0,2.3333333333333335,4040.674603174603
16,2014-01-20,462939.7168674699,56.397590361445786,2.3132530120481927,8362.004389261445
17,2014-01-21,405410.6036,48.56,2.2666666666666666,8511.23789668681
18,2014-01-22,419619.3611111111,50.0,2.1666666666666665,8348.155161187706
19,2014-01-23,589219.4376562501,64.484375,2.609375,7892.1665418315615
20,2014-01-24,458455.10593495937,54.08130081300813,2.2845528455284554,8033.835392095761
21,2014-01-25,255720.0,34.6,1.8,7245.382639958911
22,2014-01-26,80000.0,44.0,2.0,1818.1818181818182
23,2014-01-27,448388.0085365854,49.97560975609756,2.1707317073170733,8517.656220096289
24,2014-01-28,440206.64013698633,53.42465753424658,2.26027397260274,7849.653337952429
25,2014-01-29,398996.39465909096,49.13636363636363,2.2954545454545454,8069.212438705478
26,2014-01-30,429995.5545070423,50.056338028169016,2.323943661971831,8225.575772041402
27,2014-01-31,463955.5588235294,54.55614973262032,2.3475935828877006,8430.573226007524
28,2014-02-01,262333.3333333333,52.333333333333336,1.6666666666666667,5058.364254792826
29,2014-02-02,420000.0,49.0,2.0,8571.42857142857
30,2014-02-03,433775.81309278356,55.50515463917526,2.443298969072165,7830.08303546359
31,2014-02-04,515121.7688157895,63.71052631578947,2.5921052631578947,8045.280625723838
32,2014-02-05,515747.2205882353,61.05882352941177,2.323529411764706,8020.191687134735
33,2014-02-06,480024.7572,54.13333333333333,2.466666666666667,8405.315191545676
34,2014-02-07,436618.64285714284,54.6875,2.4375,7993.326824898475
35,2014-02-10,435733.35171052633,54.98684210526316,2.4473684210526314,7650.496300906785
36,2014-02-11,377206.05555555556,53.56944444444444,2.1805555555555554,7904.567591267279
37,2014-02-12,416655.28089887643,53.0,2.269662921348315,7756.503174561985
38,2014-02-13,458920.56842105265,54.1578947368421,2.3473684210526318,8166.591668243618
39,2014-02-14,586017.8482517482,58.47552447552447,2.4615384615384617,8990.436267918534
40,2014-02-15,191800.0,30.4,1.2,6248.231430503236
41,2014-02-17,455235.5154639175,54.65979381443299,2.484536082474227,8318.67890122907
42,2014-02-18,454001.0037362638,56.010989010989015,2.4505494505494507,7925.801880617091
43,2014-02-19,418523.0424468085,50.12765957446808,2.3085106382978724,8200.349823823333
44,2014-02-20,432692.2205982906,53.12820512820513,2.5213675213675213,8123.999164047314
45,2014-02-21,473244.7407633588,56.80916030534351,2.4580152671755724,8428.386501046145
46,2014-02-22,162250.0,48.75,2.0,6044.380733944954
47,2014-02-24,469113.11285714287,54.51020408163265,2.2857142857142856,8304.666279181696
48,2014-02-25,424520.68032786885,53.66393442622951,2.4344262295081966,7828.109380560591
49,2014-02-26,402152.5689655172,49.18103448275862,2.3448275862068964,8354.674843388842
50,2014-02-27,499994.3027027027,61.108108108108105,2.443243243243243,8525.255036101891
51,2014-02-28,529984.7602631579,61.11513157894737,2.539473684210526,8497.076162829555
52,2014-03-01,148333.33333333334,27.333333333333332,1.3333333333333333,5542.328042328042
53,2014-03-03,413446.63715596334,55.42201834862385,2.4403669724770642,7838.106633920296
54,2014-03-04,422475.1111111111,48.84126984126984,2.3492063492063493,8489.467538767978
55,2014-03-05,445411.16883116885,50.74025974025974,2.25974025974026,8061.975658481607
56,2014-03-06,422916.0372527473,52.05494505494506,2.3846153846153846,8113.303723449128
57,2014-03-07,441439.8284251969,54.48031496062992,2.409448818897638,8263.784328717093
58,2014-03-10,438614.0740740741,55.25925925925926,2.185185185185185,7697.53059905138
59,2014-03-11,478360.93,59.142857142857146,2.6285714285714286,7804.481557651152
60,2014-03-12,452100.60785714287,54.32857142857143,2.1857142857142855,8216.914085606279
61,2014-03-13,378921.9275510204,46.87755102040816,2.183673469387755,7960.618462387185
62,2014-03-14,434203.7887195122,50.71951219512195,2.3048780487804876,8512.919938503344
63,2014-03-15,401666.6666666667,53.333333333333336,2.0,6107.407407407408
64,2014-03-17,409808.4772727273,49.23863636363637,2.227272727272727,8187.394134632679
65,2014-03-18,387310.6129230769,46.56923076923077,2.0615384615384613,8094.679253525892
66,2014-03-19,369959.1551724138,45.706896551724135,2.189655172413793,7879.909697085578
67,2014-03-20,466547.4666666667,56.08,2.453333333333333,8036.632721314141
68,2014-03-21,504666.4894957983,55.03361344537815,2.3781512605042017,8241.148518627202
69,2014-03-22,224039.33333333334,25.333333333333332,1.6666666666666667,8483.57282741738
