,datemut,valeurfonc,sbati,pp,valeur_per_met
94,2014-04-18,327525.0,48.0,2.0,7701.992753623188
95,2014-04-19,212500.0,47.0,2.0,5949.27536231884
96,2014-04-22,337500.0,45.0,2.0,8069.073783359498
97,2014-04-23,305000.0,42.0,2.0,8452.380952380952
98,2014-04-24,375000.0,47.0,2.0,8171.428571428572
99,2014-04-25,335000.0,44.0,2.0,7936.363636363636
100,2014-04-26,357000.0,41.0,3.0,8707.317073170732
101,2014-04-28,348400.0,42.5,2.0,8173.986191860466
102,2014-04-29,382500.0,47.5,2.0,7989.36170212766
103,2014-04-30,335000.0,44.0,2.0,8061.224489795918
104,2014-05-02,250000.0,35.0,2.0,8269.23076923077
105,2014-05-05,308720.0,43.0,2.0,8086.95652173913
106,2014-05-06,398000.0,47.0,2.0,8089.285714285715
107,2014-05-07,313750.0,45.0,2.0,7784.722222222223
108,2014-05-09,291500.0,37.0,2.0,6976.7441860465115
109,2014-05-12,362137.0,47.5,2.0,8488.513321995466
110,2014-05-13,370000.0,43.0,2.0,7941.176470588235
111,2014-05-14,362000.0,46.0,2.0,7854.166666666667
112,2014-05-15,352500.0,49.0,2.0,7916.666666666667
113,2014-05-16,360000.0,47.0,2.0,8267.857142857143
114,2014-05-19,340000.0,50.0,2.0,7970.238095238095
115,2014-05-20,290000.0,42.0,2.0,8055.555555555556
116,2014-05-21,304500.0,40.5,2.0,8254.623044096728
117,2014-05-22,265500.0,39.0,2.0,7782.385834109971
118,2014-05-23,332050.0,43.0,2.0,8000.0
119,2014-05-24,700000.0,69.0,4.0,8650.0
120,2014-05-26,334200.0,45.0,2.0,7930.050872093023
121,2014-05-27,363000.0,46.0,2.0,8122.8
122,2014-05-28,350000.0,48.0,2.0,8540.54054054054
123,2014-05-29,1232400.0,88.0,2.0,14004.545454545454
124,2014-05-30,408500.0,58.0,3.0,7959.920394736842
125,2014-05-31,180000.0,22.0,2.0,8181.818181818182
126,2014-06-02,366000.0,45.0,2.0,8160.714285714285
127,2014-06-03,372500.0,46.0,2.0,7988.675958188153
128,2014-06-04,293988.29500000004,38.0,2.0,7805.282555282555
129,2014-06-05,335000.0,43.0,2.0,8166.666666666667
130,2014-06-06,368000.0,50.0,2.0,8093.75
131,2014-06-07,221000.0,31.5,1.5,6797.674418604651
132,2014-06-08,248000.0,29.0,2.0,8551.724137931034
133,2014-06-09,107500.0,18.5,1.5,6232.843137254902
134,2014-06-10,346000.0,45.0,2.0,7964.915992671553
135,2014-06-11,280000.0,35.0,2.0,7954.545454545455
136,2014-06-12,350000.0,43.0,2.0,8147.058823529412
137,2014-06-13,355000.0,45.0,2.0,8137.5
138,2014-06-14,194000.0,27.5,1.5,7097.597597597598
139,2014-06-16,349500.0,45.0,2.0,8462.222222222223
140,2014-06-17,330000.0,43.0,2.0,8157.894736842105
141,2014-06-18,309000.0,43.0,2.0,8025.0
142,2014-06-19,310000.0,47.0,2.0,8098.591549295775
143,2014-06-20,367500.0,48.5,2.0,8220.940170940172
144,2014-06-21,242000.0,29.5,1.5,7844.69696969697
